country,gdp_ppp_ranking,,name,2015_gdp_ppp_millions_usd,
CHN,1,,China,"19,814,369",
USA,2,,United States,"18,036,648",
IND,3,,India,"7,998,278",
JPN,4,,Japan,"5,175,259",
DEU,5,,Germany,"3,857,073",
RUS,6,,Russian Federation,"3,579,826",
BRA,7,,Brazil,"3,198,898",
IDN,8,,Indonesia,"2,848,028",
GBR,9,,United Kingdom,"2,700,547",
FRA,10,,France,"2,647,706",
MEX,11,,Mexico,"2,193,399",
ITA,12,,Italy,"2,190,679",
KOR,13,,"Korea, Rep.","1,748,776",
SAU,14,,Saudi Arabia,"1,688,633",
ESP,15,,Spain,"1,602,660",
CAN,16,,Canada,"1,588,596",
TUR,17,,Turkey,"1,542,555",
IRN,18,,"Iran, Islamic Rep.","1,358,795",
THA,19,,Thailand,"1,110,458",
NGA,20,,Nigeria,"1,093,921",
AUS,21,,Australia,"1,082,058",
EGY,22,,"Egypt, Arab Rep.","998,667",
POL,23,,Poland,"997,905",
PAK,24,,Pakistan,"946,667",
ARG,25,,Argentina,"884,155",a
NLD,26,,Netherlands,"818,257",
MYS,27,,Malaysia,"817,431",
PHL,28,,Philippines,"743,898",
ZAF,29,,South Africa,"725,909",
COL,30,,Colombia,"666,958",
ARE,31,,United Arab Emirates,"640,720",
DZA,32,,Algeria,"583,784",
IRQ,33,,Iraq,"560,730",
VNM,34,,Vietnam,"553,422",
BGD,35,,Bangladesh,"537,659",
CHE,36,,Switzerland,"506,221",
BEL,37,,Belgium,"497,622",
SGP,38,,Singapore,"472,591",
SWE,39,,Sweden,"457,643",
KAZ,40,,Kazakhstan,"439,390",
ROM,41,,Romania,"424,474",
HKG,42,,"Hong Kong SAR, China","415,866",
AUT,43,,Austria,"415,005",
CHL,44,,Chile,"401,503",
PER,45,,Peru,"393,125",
CZE,46,,Czech Republic,"345,647",
UKR,47,,Ukraine,"340,172",
NOR,48,,Norway,"317,973",
QAT,49,,Qatar,"316,398",
PRT,50,,Portugal,"302,316",
IRL,51,,Ireland,"302,314",
ISR,52,,Israel,"300,281",
KWT,53,,Kuwait,"290,529",
GRC,54,,Greece,"288,245",
MMR,55,,Myanmar,"282,946",
MAR,56,,Morocco,"274,060",b
DNK,57,,Denmark,"264,636",
HUN,58,,Hungary,"253,987",
LKA,59,,Sri Lanka,"246,618",
CUB,60,,Cuba,"234,589",
FIN,61,,Finland,"224,647",
UZB,62,,Uzbekistan,"190,501",a
ECU,63,,Ecuador,"185,243",
AGO,64,,Angola,"184,830",
OMN,65,,Oman,"179,492",
SDN,66,,Sudan,"176,546",
AZE,67,,Azerbaijan,"171,563",
NZL,68,,New Zealand,"169,960",
BLR,69,,Belarus,"168,351",
ETH,70,,Ethiopia,"161,900",
SVK,71,,Slovak Republic,"157,866",
DOM,72,,Dominican Republic,"149,893",
KEN,73,,Kenya,"142,240",
TZA,74,,Tanzania,"138,732",c
TUN,75,,Tunisia,"129,045",
BGR,76,,Bulgaria,"128,899",
GTM,77,,Guatemala,"126,207",
PRI,78,,Puerto Rico,"125,843",a
GHA,79,,Ghana,"115,409",
SRB,80,,Serbia,"97,395",
HRV,81,,Croatia,"92,432",
TKM,82,,Turkmenistan,"88,837",a
PAN,83,,Panama,"87,373",
JOR,84,,Jordan,"82,799",
LBN,85,,Lebanon,"81,537",a
LTU,86,,Lithuania,"80,556",
CIV,87,,Côte d'Ivoire,"79,766",
YEM,88,,"Yemen, Rep.","75,688",
CRI,89,,Costa Rica,"74,977",
BOL,90,,Bolivia,"74,578",
URY,91,,Uruguay,"72,899",
CMR,92,,Cameroon,"72,724",
UGA,93,,Uganda,"72,249",
NPL,94,,Nepal,"70,203",
MAC,95,,"Macao SAR, China","65,516",
SVN,96,,Slovenia,"64,274",
BHR,97,,Bahrain,"64,160",
AFG,98,,Afghanistan,"62,619",a
ZMB,99,,Zambia,"62,180",
PRY,100,,Paraguay,"61,070",
ZAR,101,,"Congo, Dem. Rep.","60,605",
LUX,102,,Luxembourg,"58,065",
KHM,103,,Cambodia,"54,373",
SLV,104,,El Salvador,"52,809",
LVA,105,,Latvia,"47,991",
TTO,106,,Trinidad and Tobago,"45,303",
HND,107,,Honduras,"41,144",
BIH,108,,Bosnia and Herzegovina,"40,517",
LAO,109,,Lao PDR,"38,712",
SEN,110,,Senegal,"36,625",
EST,111,,Estonia,"36,483",
MNG,112,,Mongolia,"36,163",
BWA,113,,Botswana,"35,836",
MLI,114,,Mali,"35,695",
GEO,115,,Georgia,"35,682",d
MDG,116,,Madagascar,"35,513",
GAB,117,,Gabon,"34,646",
