Library,month,enquiries
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-04,312
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-05,399
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-06,399
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-07,399
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-08,277
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-09,277
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-10,277
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-11,368
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-12,368
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-01,368
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-02,195
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-03,195
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-04,195
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-05,225
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-06,225
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-07,225
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-08,407
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-09,407
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-10,407
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-11,312
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-12,312
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-01,312
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-02,160
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-03,160
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-04,30
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-05,96
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-06,147
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-07,160
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-08,216
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-09,121
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-10,133
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-11,1054
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-12,708
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-01,1049
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-02,1731
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-03,1289
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-04,854
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-05,928
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-06,958
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-07,1565
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-08,1749
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-09,1850
