Library,month,issues
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-04,1048
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-05,1017
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-06,1042
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-07,911
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-08,919
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-09,1037
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-10,1280
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-11,1020
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-12,644
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-01,895
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-02,829
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-03,984
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-04,768
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-05,793
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-06,1107
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-07,1011
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-08,967
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-09,801
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-10,1094
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-11,1017
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-12,425
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-01,745
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-02,912
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-03,894
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-04,873
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-05,943
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-06,882
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-07,1103
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-08,972
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-09,799
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-10,759
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-11,671
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-12,512
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-01,831
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-02,1058
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-03,868
