"Country or territory of asylum or residence","Country or territory of origin","Year","Refugees","Refugees assisted by UNHCR","Total refugees and people in refugee-like situations","Total refugees and people in refugee-like situations assisted by UNHCR"
"Afghanistan","Iraq","2003","3","","3",""
"Afghanistan","Islamic Rep. of Iran","2003","19","","19",""
"Albania","Iraq","2003","7","7","7","7"
"Albania","Islamic Rep. of Iran","2003","1","1","1","1"
"Albania","Rep. of Moldova","2003","1","","1",""
"Albania","Serbia (and Kosovo: S/RES/1244 (1999))","2003","10","10","10","10"
"Albania","Turkey","2003","7","7","7","7"
"Algeria","Burundi","2003","1","","1",""
"Algeria","Cameroon","2003","5","","5",""
"Algeria","Côte d'Ivoire","2003","1","1","1","1"
"Algeria","Dem. Rep. of the Congo","2003","1","","1",""
"Algeria","Iraq","2003","6","6","6","6"
"Algeria","Libya","2003","6","6","6","6"
"Algeria","Russian Federation","2003","1","1","1","1"
"Algeria","Somalia","2003","4","4","4","4"
"Algeria","State of Palestine","2003","4005","","4005",""
"Algeria","Syrian Arab Rep.","2003","3","3","3","3"
"Algeria","Western Sahara","2003","165000","155430","165000","155430"
"Angola","Algeria","2003","1","1","1","1"
"Angola","Burundi","2003","10","10","10","10"
"Angola","Central African Rep.","2003","6","6","6","6"
"Angola","Chad","2003","62","62","62","62"
"Angola","Congo","2003","35","33","35","33"
"Angola","Côte d'Ivoire","2003","2","2","2","2"
"Angola","Dem. Rep. of the Congo","2003","13015","13007","13015","13007"
"Angola","Ethiopia","2003","1","1","1","1"
"Angola","Guinea","2003","2","1","2","1"
"Angola","Iraq","2003","1","1","1","1"
"Angola","Liberia","2003","19","17","19","17"
"Angola","Mauritania","2003","4","4","4","4"
"Angola","Rwanda","2003","120","118","120","118"
"Angola","Sierra Leone","2003","57","57","57","57"
"Angola","Somalia","2003","6","6","6","6"
"Angola","Sudan","2003","35","35","35","35"
"Angola","United Rep. of Tanzania","2003","4","","4",""
"Angola","Zambia","2003","2","2","2","2"
"Argentina","Albania","2003","10","9","10","9"
"Argentina","Algeria","2003","55","18","55","18"
"Argentina","Angola","2003","13","10","13","10"
"Argentina","Armenia","2003","31","30","31","30"
"Argentina","Bangladesh","2003","6","","6",""
"Argentina","Bolivia (Plurinational State of)","2003","1","","1",""
"Argentina","Bosnia and Herzegovina","2003","8","","8",""
"Argentina","Bulgaria","2003","1","","1",""
"Argentina","Burundi","2003","2","2","2","2"
"Argentina","Cambodia","2003","44","44","44","44"
"Argentina","Chile","2003","11","11","11","11"
"Argentina","Colombia","2003","18","18","18","18"
"Argentina","Cuba","2003","194","98","194","98"
"Argentina","Dem. Rep. of the Congo","2003","8","3","8","3"
"Argentina","Estonia","2003","2","2","2","2"
"Argentina","Ethiopia","2003","4","2","4","2"
"Argentina","Georgia","2003","5","5","5","5"
"Argentina","Ghana","2003","5","3","5","3"
"Argentina","Guinea","2003","14","14","14","14"
"Argentina","Haiti","2003","5","5","5","5"
"Argentina","India","2003","20","14","20","14"
"Argentina","Iraq","2003","22","22","22","22"
"Argentina","Islamic Rep. of Iran","2003","29","8","29","8"
"Argentina","Kazakhstan","2003","80","1","80","1"
"Argentina","Kyrgyzstan","2003","3","3","3","3"
"Argentina","Lao People's Dem. Rep.","2003","1328","52","1328","52"
